Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
11,MEM2052-00-195-00-A,GCT,CONN MICRO SD CARD R/A SMD,,"26,536",In Stock,,1,1,Cut Tape (CT),2073-MEM2052-00-195-00-ACT-ND,0.85000,£0.85,1,J6,MEM2052-00-195-00-A,12,https://gct.co/files/specs/mem2052-spec.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,China,https://gct.co/files/info/gct_certificate_of_compliance.pdf,MEM2052-00-195-00-A,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5022/MFG_MEM2052-00-195-00-A.jpg,
12,USB4105-GF-A,GCT,CONN RCP USB2.0 TYP C 16P SMD RA,,"151,149",In Stock,,1,1,Cut Tape (CT),2073-USB4105-GF-ACT-ND,0.59000,£0.59,1,J1,USB4105-GF-A,9,https://gct.co/files/specs/usb4105-spec.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,China,https://gct.co/files/info/gct_certificate_of_compliance.pdf,USB4105-GF-A,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/199/MFG_USB4105-GF-A.jpg,
13,B2B-PH-SM4-TB,JST Sales America Inc.,CONN HEADER SMD 2POS 2MM,,"51,956",In Stock,,1,1,Cut Tape (CT),455-B2B-PH-SM4-TBCT-ND,0.35000,£0.35,1,J3,B2B-PH-SM4-TB,25,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,Malaysia,,B2B-PH-SM4-TB,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/717/717/MFG_B2B-PH-SM4-TB%28LF%29%28SN%29_web%28640x640%29.jpg,
14,RNCP0805FTD1K50,Stackpole Electronics Inc,RES 1.5K OHM 1% 1/4W 0805,,"27,807",In Stock,,100,100,Cut Tape (CT),RNCP0805FTD1K50CT-ND,0.00880,£0.88,1,"R20, R21",RNCP0805FTD1K50,21,https://www.seielect.com/catalog/SEI-RNCP.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,RNCP0805FTD1K50,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/RNCP-Thin-Film-Chip-Resistor.jpg,
15,RNCP0805FTD1K00,Stackpole Electronics Inc,RES 1K OHM 1% 1/4W 0805,,"155,577",In Stock,,100,100,Cut Tape (CT),RNCP0805FTD1K00CT-ND,0.00880,£0.88,1,R6,RNCP0805FTD1K00,21,https://www.seielect.com/catalog/SEI-RNCP.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,RNCP0805FTD1K00,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg,
16,CR0805-FX-4642ELF,Bourns Inc.,RES SMD 46.4K OHM 1% 1/8W 0805,,"19,479",In Stock,,10,10,Cut Tape (CT),118-CR0805-FX-4642ELFCT-ND,0.02800,£0.28,1,R5,CR0805-FX-4642ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-4642ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
17,CR0805-FX-1181ELF,Bourns Inc.,RES SMD 1.18K OHM 1% 1/8W 0805,,"24,792",In Stock,,10,10,Cut Tape (CT),118-CR0805-FX-1181ELFCT-ND,0.02800,£0.28,1,R4,CR0805-FX-1181ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-1181ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
18,CR0805-FX-1131ELF,Bourns Inc.,RES SMD 1.13K OHM 1% 1/8W 0805,,"23,449",In Stock,,10,10,Cut Tape (CT),118-CR0805-FX-1131ELFCT-ND,0.02800,£0.28,1,R1,CR0805-FX-1131ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-1131ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
19,CR0805-JW-512ELF,Bourns Inc.,RES SMD 5.1K OHM 5% 1/8W 0805,,"113,541",In Stock,,10,10,Cut Tape (CT),118-CR0805-JW-512ELFCT-ND,0.01900,£0.19,1,"R11, R12",CR0805-JW-512ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-JW-512ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
20,CR0805-FX-1003ELF,Bourns Inc.,RES SMD 100K OHM 1% 1/8W 0805,,"92,197",In Stock,,10,10,Cut Tape (CT),CR0805-FX-1003ELFCT-ND,0.02000,£0.20,1,"R22, R23",CR0805-FX-1003ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-1003ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
21,CR0603-FX-7683ELF,Bourns Inc.,RES SMD 768K OHM 1% 1/10W 0603,,"22,600",In Stock,,10,10,Cut Tape (CT),118-CR0603-FX-7683ELFCT-ND,0.02000,£0.20,1,R7,CR0603-FX-7683ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0603_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0603-FX-7683ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0603-%281608-Metric%29.jpg,
22,CR0805-FX-1373ELF,Bourns Inc.,RES SMD 137K OHM 1% 1/8W 0805,,"19,743",In Stock,,10,10,Cut Tape (CT),118-CR0805-FX-1373ELFCT-ND,0.02800,£0.28,1,R8,CR0805-FX-1373ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-1373ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
23,1N4148W,SMC Diode Solutions,DIODE STANDARD 75V 250MA SOD123,,"233,593",In Stock,,1,1,Cut Tape (CT),1655-1N4148WCT-ND,0.10000,£0.10,1,D1,1655-1N4148WTR-ND,8,https://www.smc-diodes.com/propdf/1N4148W%20N0571%20REV.E.pdf,,	-,,Active,ROHS3 Compliant,REACH Affected,1  (Unlimited),EAR99,8541.10.0070,China,https://www.smc-diodes.com/uploadfile/Declaration%20Letter%20for%20EU%20REACH-3.pdf|https://www.smc-diodes.com/uploadfile/ROHS%20Declaration%20Letter-4.pdf,1655-1N4148WTR-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6155/1655%7ESOD123%7E%7E2.jpg,
24,CR0805-FX-4701ELF,Bourns Inc.,RES SMD 4.7K OHM 1% 1/8W 0805,,"181,702",In Stock,,10,10,Cut Tape (CT),CR0805-FX-4701ELFCT-ND,0.02000,£0.20,1,"R16, R17",CR0805-FX-4701ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-4701ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
25,LQW15AN8N0G8ZD,Murata Electronics,FIXED IND 8NH 1.7A 50 MOHM SMD,,"6,338",In Stock,,1,1,Cut Tape (CT),490-15587-1-ND,0.13000,£0.13,1,L2,LQW15AN8N0G8ZD,21,https://pim.murata.com/asset/pim4/inductor/JELF243A-9138_PDF_INDUCTOR,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8504.50.8000,Japan,,LQW15AN8N0G8ZD,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2323/LQW15A.jpg,
26,DFE201610E-1R0M=P2,Murata Electronics,FIXED IND 1UH 2.7A 57 MOHM SMD,,"54,354",In Stock,,1,1,Cut Tape (CT),490-18106-1-ND,0.19000,£0.19,1,L1,DFE201610E-1R0M=P2,21,https://search.murata.co.jp/Ceramy/image/img/P02/J(E)TE243A-0001.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8504.50.8000,Vietnam,,DFE201610E-1R0M=P2,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/840/747/LQM2MP%200806_web%28640x640%29.jpg,
27,USB3300-EZK,Microchip Technology,IC USB HOST/OTG PHY ULPI 32-QFN,,"3,230",In Stock,,1,1,Tray,638-1034-ND,1.29000,£1.29,1,U8,USB3300-EZK,8,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/00001783C.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),3A991A2,8542.39.0070,Taiwan,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,USB3300-EZK,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/150_32-QFN.jpg,
28,GRM21BR72A474KA73L,Murata Electronics,CAP CER 0.47UF 100V X7R 0805,,"15,974",In Stock,,10,10,Cut Tape (CT),490-3326-1-ND,0.17100,£1.71,1,"C28, C29",GRM21BR72A474KA73L,17,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR72A474KA73-01.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Japan,,GRM21BR72A474KA73L,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5447/490-Ceramic-Capacitor-Tan-Field.jpg,
29,BQ24075RGTR,Texas Instruments,IC BATT CHG LI-ION 1CELL 16QFN,,"1,894",In Stock,,1,1,Cut Tape (CT),296-38874-1-ND,1.81000,£1.81,1,U1,BQ24075RGTR,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fbq24075,,	-,,Active,ROHS3 Compliant,REACH Unaffected,2  (1 Year),EAR99,8542.39.0070,China,,BQ24075RGTR,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4117/296%7E4222419%7ERGT%7E16.JPG,
30,TPS63020DSJR,Texas Instruments,IC REG BUCK BST ADJ 3.5A 14VSON,,"11,665",In Stock,,1,1,Cut Tape (CT),296-36491-1-ND,2.48000,£2.48,1,U2,TPS63020DSJR,12,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps63020,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0070,China,,TPS63020DSJR,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6295/296%7E4208212-3%7EDSJ%7E14.jpg,
31,RFPC-SMA27-F,GCT,SMA PCB MOUNT RA JACK,,"7,522",In Stock,,1,1,Tray,2073-RFPC-SMA27-F-ND,1.69000,£1.69,1,J5,RFPC-SMA27-F,6,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6130/RFPC-SMA27-F.pdf,,	-,,Active,ROHS3 Compliant,,Not Applicable,EAR99,8536.69.4010,China,,RFPC-SMA27-F,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/170/290/MFG_RFPC-SMA27-F_web%28640x640%29.jpg,
32,C0805C104K8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0805,,"104,274",In Stock,,100,100,Cut Tape (CT),399-C0805C104K8RACTUCT-ND,0.03800,£3.80,1,,C0805C104K8RACTU,21,https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,China,,C0805C104K8RACTU,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg,
33,C0805C103K8RACTU,KEMET,CAP CER 10000PF 10V X7R 0805,,"10,909",In Stock,,100,100,Cut Tape (CT),399-14549-1-ND,0.03730,£3.73,1,,C0805C103K8RACTU,21,https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Mexico,,C0805C103K8RACTU,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/121/213/cut-tape-render_web%28640x640%29.jpg,
34,SRV05-4A,SMC Diode Solutions,TVS DIODE 5VWM 17.5VC SOT23-6,,"56,131",In Stock,,,,,,,,,U9,1655-SRV05-4ATR-ND,24,https://www.smc-diodes.com/propdf/SRV05-4A%20N1763%20REV.A.pdf,,	-,,Active,ROHS3 Compliant,REACH Affected,1  (Unlimited),EAR99,8541.10.0080,China,https://www.smc-diodes.com/uploadfile/Declaration%20Letter%20for%20EU%20REACH-3.pdf|https://www.smc-diodes.com/uploadfile/ROHS%20Declaration%20Letter-4.pdf,1655-SRV05-4ATR-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/1655%3BSOT23%3B%3B6.jpg,
35,CR0805-FX-1202ELF,Bourns Inc.,RES SMD 12K OHM 1% 1/8W 0805,,"22,709",In Stock,,100,100,Cut Tape (CT),118-CR0805-FX-1202ELFCT-ND,0.00980,£0.98,1,,CR0805-FX-1202ELF,21,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-1202ELF,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-%282012-Metric%29.jpg,
